ts,pwd,temp,atm,hum,rssi,snr
09:10:30,nX05,146,102499,61188,-65,13
09:10:30,nX05,146,102499,61182,-65,13
09:10:31,nX05,146,102499,61188,-65,13
09:10:31,nX05,146,102501,61162,-65,12
09:10:32,nX05,147,102501,61168,-64,13
09:10:32,nX05,147,102499,61161,-65,12
09:10:33,nX05,147,102501,61155,-64,12
09:10:33,nX05,147,102501,61155,-64,12
09:10:34,nX05,147,102499,61148,-64,13
09:10:34,nX05,147,102499,61148,-66,13
09:10:35,nX05,147,102499,61142,-65,13
09:10:36,nX05,147,102499,61135,-71,13
09:10:36,nX05,148,102499,61122,-67,13
09:10:37,nX05,148,102499,61109,-67,13
09:10:37,nX05,148,102499,61109,-68,13
09:10:38,nX05,148,102499,61103,-64,13
09:10:38,nX05,148,102499,61096,-64,14
09:10:39,nX05,148,102499,61090,-64,13
09:10:39,nX05,148,102499,61096,-64,13
09:10:40,nX05,148,102499,61083,-65,12
09:10:40,nX05,148,102501,61077,-64,13
09:10:41,nX05,148,102501,61070,-64,12
09:10:42,nX05,148,102501,61064,-65,12
09:10:42,nX05,148,102499,61051,-66,12
09:10:43,nX05,148,102499,61051,-66,12
09:10:43,nX05,148,102499,61044,-66,13
09:10:44,nX05,148,102499,61044,-66,12
09:10:44,nX05,149,102499,61041,-63,13
09:10:45,nX05,149,102499,61028,-63,13
09:10:45,nX05,149,102499,61021,-65,13
09:10:46,nX05,149,102501,61014,-65,13
09:10:46,nX05,149,102499,61001,-62,12
09:10:47,nX05,149,102499,61008,-62,12
09:10:47,nX05,149,102499,61001,-62,12
09:10:48,nX05,149,102499,60995,-62,12
09:10:49,nX05,149,102499,60995,-65,12
09:10:49,nX05,149,102499,60982,-66,13
09:10:50,nX05,149,102499,60976,-64,13
09:10:50,nX05,149,102497,60969,-68,12
09:10:51,nX05,149,102499,60956,-67,13
09:10:51,nX05,149,102497,60962,-65,13
09:10:52,nX05,149,102497,60956,-67,13
09:10:52,nX05,149,102497,60930,-65,13
09:10:53,nX05,149,102497,60937,-65,12
09:10:53,nX05,149,102497,60924,-61,13
09:10:54,nX05,149,102499,60917,-62,12
09:10:55,nX05,149,102497,60917,-64,13
09:10:55,nX05,149,102497,60904,-62,12
09:10:56,nX05,149,102499,60897,-65,12
09:10:56,nX05,149,102499,60885,-64,13
09:10:57,nX05,149,102499,60878,-64,14
09:10:57,nX05,149,102499,60878,-64,14
09:10:58,nX05,149,102499,60865,-63,13
09:10:58,nX05,149,102499,60872,-66,13
09:10:59,nX05,149,102499,60852,-69,12
09:10:59,nX05,149,102497,60859,-66,12
09:11:00,nX05,149,102499,60852,-64,13
09:11:00,nX05,149,102497,60839,-63,12
09:11:01,nX05,149,102497,60826,-66,12
09:11:02,nX05,149,102499,60833,-65,13
09:11:02,nX05,149,102497,60833,-66,12
09:11:03,nX05,149,102497,60826,-62,12
09:11:03,nX05,149,102497,60807,-61,12
09:11:04,nX05,149,102497,60826,-65,12
09:11:04,nX05,149,102497,60807,-67,13
09:11:05,nX05,149,102497,60794,-67,13
09:11:05,nX05,149,102495,60794,-61,12
09:11:06,nX05,149,102497,60790,-63,13
09:11:06,nX05,149,102497,60783,-67,13
09:11:07,nX05,149,102497,60770,-69,12
09:11:08,nX05,149,102497,60770,-67,13
09:11:08,nX05,149,102497,60783,-67,12
09:11:09,nX05,150,102497,60757,-66,13
09:11:09,nX05,150,102499,60764,-67,13
09:11:10,nX05,149,102499,60744,-67,13
09:11:10,nX05,150,102497,60731,-67,13
09:11:11,nX05,150,102497,60738,-66,13
09:11:11,nX05,150,102497,60718,-67,13
09:11:12,nX05,150,102499,60725,-67,13
09:11:12,nX05,150,102499,60718,-67,13
09:11:13,nX05,150,102499,60712,-66,13
09:11:13,nX05,150,102497,60712,-66,13
09:11:14,nX05,150,102497,60692,-66,13
09:11:15,nX05,150,102497,60686,-66,13
09:11:15,nX05,150,102497,60692,-67,13
09:11:16,nX05,150,102501,60679,-68,13
09:11:16,nX05,150,102501,60679,-69,13
09:11:17,nX05,150,102501,60679,-67,13
09:11:17,nX05,150,102499,60666,-64,13
09:11:18,nX05,150,102499,60673,-63,13
09:11:18,nX05,150,102499,60647,-63,13
09:11:19,nX05,150,102499,60654,-63,13
09:11:19,nX05,150,102499,60641,-65,12
09:11:20,nX05,150,102501,60654,-67,13
09:11:21,nX05,150,102499,60634,-67,12
09:11:21,nX05,150,102499,60634,-65,12
09:11:22,nX05,150,102501,60641,-65,13
09:11:22,nX05,150,102501,60615,-63,13
09:11:23,nX05,150,102501,60615,-66,13
09:11:23,nX05,150,102501,60615,-66,13
09:11:24,nX05,150,102501,60608,-65,12
09:11:24,nX05,150,102501,60608,-66,12
09:11:25,nX05,150,102499,60595,-66,12
09:11:25,nX05,150,102499,60589,-68,12
09:11:26,nX05,150,102499,60582,-68,14
09:11:26,nX05,150,102499,60582,-69,13
09:11:27,nX05,150,102499,60589,-68,13
09:11:28,nX05,150,102499,60576,-68,13
09:11:28,nX05,150,102501,60569,-69,12
09:11:29,nX05,150,102499,60563,-69,12
09:11:29,nX05,150,102501,60569,-64,12
09:11:30,nX05,150,102501,60563,-64,12
09:11:30,nX05,150,102501,60556,-64,13
09:11:31,nX05,150,102499,60537,-64,13
09:11:31,nX05,150,102499,60537,-64,13
09:11:32,nX05,150,102499,60537,-66,12
09:11:32,nX05,150,102499,60518,-66,13
09:11:33,nX05,151,102499,60518,-67,13
09:11:34,nX05,150,102499,60524,-66,13
09:11:34,nX05,151,102501,60518,-65,12
