ts,pwd,temp,atm,hum,rssi,snr
10:42:55,iOuC,301,102419,65288,-101,5
10:42:56,iOuC,301,102419,65249,-103,4
10:42:57,iOuC,302,102417,65262,-102,5
10:42:58,iOuC,302,102419,65262,-108,-2
10:42:59,iOuC,303,102417,65258,-110,-11
10:43:01,iOuC,304,102415,65278,-108,-2
10:43:02,iOuC,304,102415,65265,-108,-3
10:43:03,iOuC,305,102415,65246,-106,2
10:43:04,iOuC,305,102415,65252,-106,1
10:43:05,iOuC,306,102415,65246,-105,3
10:43:06,iOuC,306,102417,65259,-104,3
10:43:07,iOuC,306,102417,65266,-103,4
10:43:08,iOuC,307,102417,65278,-104,4
10:43:09,iOuC,307,102415,65265,-103,5
10:43:10,iOuC,307,102415,65265,-103,5
10:43:11,iOuC,307,102415,65258,-109,-4
10:43:12,iOuC,308,102417,65265,-108,-3
10:43:13,iOuC,308,102417,65271,-106,1
10:43:14,iOuC,308,102417,65258,-106,2
10:43:15,iOuC,308,102415,65251,-108,-1
10:43:16,iOuC,308,102415,65265,-105,2
10:43:17,iOuC,309,102417,65257,-104,4
10:43:18,iOuC,309,102417,65244,-104,3
10:43:19,iOuC,309,102417,65244,-106,2
10:43:20,iOuC,309,102417,65264,-106,2
10:43:21,Event RX Error,,,,
10:43:23,iOuC,309,102420,65257,-107,-4
10:43:24,iOuC,309,102417,65250,-108,-3
10:43:25,iOuC,309,102417,65244,-109,-4
10:43:26,iOuC,309,102420,65244,-109,-5
10:43:27,iOuC,309,102422,65250,-109,-3
10:43:29,iOuC,309,102420,65244,-109,-3
10:43:30,iOuC,309,102420,65250,-110,-6
10:43:33,Event RX Timeout,,,,
10:43:35,iOuC,311,102420,65296,-101,5
10:43:36,iOuC,310,102420,65227,-104,4
10:43:37,iOuC,309,102420,65231,-104,4
10:43:38,iOuC,310,102419,65247,-102,5
10:43:39,iOuC,310,102419,65247,-104,4
10:43:40,iOuC,310,102419,65240,-105,4
10:43:41,iOuC,310,102417,65240,-107,2
10:43:42,iOuC,310,102417,65234,-105,3
10:43:43,iOuC,310,102417,65234,-104,3
10:43:44,iOuC,310,102417,65240,-105,4
10:43:45,iOuC,310,102417,65240,-102,5
10:43:46,iOuC,310,102417,65240,-109,-4
10:43:47,iOuC,310,102417,65240,-109,-3
10:43:49,iOuC,310,102417,65234,-108,-2
10:43:50,iOuC,310,102417,65234,-107,-2
10:43:51,iOuC,310,102417,65240,-106,2
10:43:52,iOuC,310,102417,65220,-108,-2
10:43:53,iOuC,310,102419,65240,-107,0
10:43:54,iOuC,310,102417,65240,-109,-2
10:43:55,iOuC,310,102417,65227,-105,4
10:43:56,iOuC,310,102419,65220,-105,4
10:43:57,iOuC,310,102419,65227,-105,4
10:43:58,iOuC,310,102419,65227,-106,2
10:43:59,iOuC,310,102419,65227,-109,-5
10:44:00,iOuC,310,102419,65227,-110,-7
10:44:01,iOuC,310,102419,65220,-109,-4
10:44:02,iOuC,310,102420,65227,-107,-1
10:44:03,iOuC,310,102420,65214,-108,-1
10:44:04,iOuC,310,102420,65214,-109,-2
10:44:05,iOuC,310,102420,65220,-108,-1
10:44:06,iOuC,310,102420,65207,-109,-3
10:44:07,iOuC,310,102420,65220,-109,-3
10:44:08,iOuC,310,102420,65214,-108,-2
10:44:09,iOuC,310,102420,65194,-104,4
10:44:10,iOuC,310,102420,65207,-105,2
10:44:11,iOuC,310,102420,65200,-104,4
10:44:13,iOuC,310,102419,65207,-102,5
10:44:14,iOuC,310,102419,65200,-103,5
10:44:15,iOuC,310,102419,65200,-103,5
10:44:16,iOuC,310,102420,65200,-104,4
10:44:17,iOuC,310,102419,65214,-103,5
10:44:18,iOuC,310,102419,65194,-103,5
10:44:19,iOuC,310,102419,65200,-103,5
10:44:20,iOuC,310,102419,65194,-103,5
10:44:21,iOuC,310,102419,65200,-102,5
10:44:22,iOuC,310,102419,65200,-104,4
10:44:23,iOuC,310,102419,65194,-104,4
10:44:24,iOuC,310,102419,65194,-104,4
10:44:25,iOuC,310,102420,65214,-104,5
10:44:26,iOuC,310,102419,65207,-105,3
10:44:27,iOuC,310,102420,65200,-105,4
10:44:28,iOuC,310,102420,65194,-106,3
10:44:29,iOuC,310,102419,65194,-107,1
10:44:30,iOuC,310,102420,65200,-106,2
10:44:31,iOuC,310,102419,65194,-106,2
10:44:32,iOuC,310,102420,65200,-107,0
10:44:33,iOuC,310,102420,65200,-108,-2
10:44:34,iOuC,310,102420,65194,-109,-5
10:44:35,iOuC,310,102420,65187,-104,4
10:44:37,iOuC,310,102420,65194,-106,1
10:44:38,iOuC,310,102420,65207,-107,1
10:44:39,iOuC,310,102420,65194,-110,-7
10:44:42,Event RX Timeout,,,,
10:44:44,iOuC,311,102420,65234,-106,3
10:44:45,iOuC,309,102422,65197,-106,2
10:44:46,iOuC,309,102417,65197,-108,-1
10:44:47,iOuC,309,102417,65197,-109,-3
10:44:48,iOuC,309,102417,65184,-110,-6
10:44:49,iOuC,309,102420,65191,-106,3
10:44:50,iOuC,309,102420,65191,-108,-1
10:44:51,iOuC,309,102420,65191,-107,0
10:44:52,iOuC,310,102420,65194,-107,0
10:44:53,iOuC,310,102420,65194,-108,-3
10:44:54,iOuC,310,102420,65187,-106,2
10:44:55,iOuC,310,102420,65187,-106,2
10:44:57,iOuC,310,102422,65194,-106,2
10:44:58,iOuC,310,102422,65194,-106,1
10:44:59,iOuC,310,102420,65187,-104,4
10:45:00,iOuC,310,102420,65194,-103,5
10:45:01,iOuC,310,102420,65194,-103,5
10:45:02,iOuC,310,102420,65194,-102,5
10:45:03,iOuC,310,102420,65180,-103,5
